episode,score,avg_score,hidden_size
0,10.0,10.0,4
1,13.0,11.5,4
2,11.0,11.333333333333334,4
3,18.0,13.0,4
4,9.0,12.2,4
5,15.0,12.666666666666666,4
6,9.0,12.142857142857142,4
7,14.0,12.375,4
8,19.0,13.11111111111111,4
9,13.0,13.1,4
10,11.0,12.909090909090908,4
11,14.0,13.0,4
12,10.0,12.76923076923077,4
13,19.0,13.214285714285714,4
14,11.0,13.066666666666666,4
15,15.0,13.1875,4
16,21.0,13.647058823529411,4
17,16.0,13.777777777777779,4
18,14.0,13.789473684210526,4
19,11.0,13.65,4
20,12.0,13.571428571428571,4
21,12.0,13.5,4
22,17.0,17.0,4
23,12.0,12.0,4
24,8.0,8.0,4
25,11.0,11.0,4
26,15.0,15.0,4
27,14.0,14.0,4
28,16.0,16.0,4
29,12.0,12.0,4
30,9.0,9.0,4
31,11.0,11.0,4
32,14.0,14.0,4
33,24.0,24.0,4
34,13.0,13.0,4
35,11.0,11.0,4
36,12.0,12.0,4
37,13.0,13.0,4
38,15.0,15.0,4
39,25.0,25.0,4
40,14.0,14.0,4
41,9.0,9.0,4
42,16.0,16.0,4
43,14.0,14.0,4
44,39.0,39.0,4
45,14.0,14.0,4
46,53.0,53.0,4
47,25.0,25.0,4
48,11.0,11.0,4
49,14.0,14.0,4
50,10.0,10.0,4
51,27.0,27.0,4
52,18.0,18.0,4
53,23.0,23.0,4
54,13.0,13.0,4
55,10.0,10.0,4
56,19.0,19.0,4
57,23.0,23.0,4
58,24.0,24.0,4
59,24.0,24.0,4
60,13.0,13.0,4
61,17.0,17.0,4
62,16.0,16.0,6
63,12.0,12.0,16
64,31.0,31.0,38
65,25.0,25.0,63
66,24.0,24.0,64
67,29.0,29.0,64
68,38.0,38.0,64
69,62.0,62.0,64
70,17.0,17.0,64
71,21.0,21.0,64
72,16.0,16.0,64
73,13.0,13.0,51
74,31.0,31.0,39
75,25.0,25.0,27
76,40.0,40.0,15
77,11.0,11.0,4
78,22.0,22.0,4
79,27.0,27.0,4
80,13.0,13.0,4
81,12.0,12.0,4
82,10.0,10.0,4
83,12.0,12.0,4
84,19.0,19.0,4
85,11.0,11.0,4
86,13.0,13.0,4
87,9.0,9.0,4
88,12.0,12.0,4
89,10.0,10.0,4
90,22.0,22.0,4
91,22.0,22.0,4
92,13.0,13.0,4
93,13.0,13.0,4
94,29.0,29.0,4
95,11.0,11.0,4
96,13.0,13.0,4
97,25.0,25.0,4
98,14.0,14.0,4
99,19.0,19.0,4
100,24.0,24.0,4
101,48.0,48.0,4
102,9.0,9.0,4
103,29.0,29.0,4
104,18.0,18.0,4
105,12.0,12.0,4
106,12.0,12.0,4
107,9.0,9.0,4
108,13.0,13.0,4
109,10.0,10.0,4
110,15.0,15.0,4
111,24.0,24.0,4
112,16.0,16.0,4
113,12.0,12.0,4
114,9.0,9.0,4
115,31.0,31.0,4
116,29.0,29.0,4
117,14.0,14.0,4
118,18.0,18.0,4
119,21.0,21.0,4
120,10.0,10.0,4
121,9.0,9.0,4
122,14.0,14.0,4
123,16.0,16.0,4
124,14.0,14.0,4
125,11.0,11.0,4
126,21.0,21.0,4
127,12.0,12.0,4
128,28.0,28.0,4
129,28.0,28.0,4
130,23.0,23.0,4
131,10.0,10.0,4
132,25.0,25.0,4
133,12.0,12.0,4
134,19.0,19.0,4
135,16.0,16.0,4
136,20.0,20.0,4
137,20.0,20.0,4
138,19.0,19.0,4
139,16.0,16.0,4
140,29.0,29.0,4
141,14.0,14.0,4
142,60.0,60.0,4
143,15.0,15.0,4
144,60.0,60.0,4
145,24.0,24.0,4
146,49.0,49.0,4
147,17.0,17.0,4
148,13.0,13.0,4
149,13.0,13.0,4
150,38.0,38.0,4
151,12.0,12.0,4
152,22.0,22.0,4
153,15.0,15.0,4
154,26.0,26.0,4
155,11.0,11.0,4
156,20.0,20.0,6
157,19.0,19.0,16
158,18.0,18.0,38
159,20.0,20.0,63
160,84.0,84.0,64
161,23.0,23.0,64
162,14.0,14.0,64
163,16.0,16.0,64
164,21.0,21.0,64
165,36.0,36.0,64
166,25.0,25.0,64
167,61.0,61.0,51
168,17.0,17.0,39
169,51.0,51.0,27
170,17.0,17.0,15
171,35.0,35.0,4
172,11.0,11.0,4
173,30.0,30.0,4
174,21.0,21.0,4
175,34.0,34.0,4
176,42.0,42.0,4
177,35.0,35.0,4
178,11.0,11.0,4
179,12.0,12.0,4
180,17.0,17.0,4
181,16.0,16.0,4
182,15.0,15.0,4
183,26.0,26.0,4
184,46.0,46.0,4
185,61.0,61.0,4
186,29.0,29.0,4
187,21.0,21.0,4
188,72.0,72.0,4
189,27.0,27.0,4
190,60.0,60.0,4
191,31.0,31.0,4
192,14.0,14.0,4
193,44.0,44.0,4
194,33.0,33.0,4
195,50.0,50.0,4
196,26.0,26.0,4
197,30.0,30.0,4
198,13.0,13.0,4
199,43.0,43.0,4
200,44.0,44.0,4
201,19.0,19.0,4
202,18.0,18.0,4
203,14.0,14.0,4
204,16.0,16.0,4
205,45.0,45.0,4
206,30.0,30.0,4
207,24.0,24.0,4
208,24.0,24.0,4
209,26.0,26.0,4
210,19.0,19.0,4
211,20.0,20.0,4
212,38.0,38.0,4
213,40.0,40.0,4
214,15.0,15.0,4
215,21.0,21.0,4
216,19.0,19.0,4
217,14.0,14.0,4
218,34.0,34.0,4
219,55.0,55.0,4
220,14.0,14.0,4
221,35.0,35.0,4
222,47.0,47.0,4
223,23.0,23.0,4
224,59.0,59.0,4
225,26.0,26.0,4
226,21.0,21.0,4
227,32.0,32.0,4
228,16.0,16.0,4
229,10.0,10.0,4
230,22.0,22.0,4
231,25.0,25.0,4
232,49.0,49.0,4
233,48.0,48.0,4
234,98.0,98.0,4
235,19.0,19.0,4
236,83.0,83.0,4
237,32.0,32.0,4
238,18.0,18.0,4
239,17.0,17.0,4
240,89.0,89.0,4
241,20.0,20.0,4
242,58.0,58.0,4
243,42.0,42.0,4
244,51.0,51.0,4
245,39.0,39.0,4
246,29.0,29.0,4
247,41.0,41.0,4
248,27.0,27.0,4
249,60.0,60.0,4
250,65.0,65.0,6
251,39.0,39.0,16
252,32.0,32.0,38
253,25.0,25.0,63
254,30.0,30.0,64
255,35.0,35.0,64
256,30.0,30.0,64
257,35.0,35.0,64
258,21.0,21.0,64
259,58.0,58.0,64
260,21.0,21.0,64
261,107.0,107.0,51
262,24.0,65.5,51
263,35.0,55.333333333333336,51
264,35.0,50.25,51
265,104.0,61.0,51
266,79.0,64.0,51
267,95.0,68.42857142857143,51
268,157.0,79.5,51
269,40.0,75.11111111111111,51
270,148.0,82.4,51
271,72.0,81.45454545454545,51
272,232.0,94.0,51
273,58.0,91.23076923076923,51
274,55.0,88.64285714285714,51
275,15.0,83.73333333333333,51
276,39.0,80.9375,51
277,109.0,82.58823529411765,51
278,106.0,83.88888888888889,51
279,131.0,86.36842105263158,51
280,152.0,89.65,51
281,32.0,86.9047619047619,51
282,116.0,88.22727272727273,51
283,78.0,87.78260869565217,51
284,207.0,92.75,51
285,136.0,94.48,51
286,51.0,92.8076923076923,51
287,76.0,92.18518518518519,51
288,97.0,92.35714285714286,51
289,77.0,91.82758620689656,51
290,150.0,93.76666666666667,51
291,68.0,92.93548387096774,51
292,50.0,91.59375,51
293,168.0,93.9090909090909,51
294,115.0,94.52941176470588,51
295,91.0,94.42857142857143,51
296,107.0,94.77777777777777,51
297,84.0,94.48648648648648,51
298,149.0,95.92105263157895,51
299,93.0,95.84615384615384,51
300,132.0,96.75,51
301,95.0,96.70731707317073,51
302,138.0,97.69047619047619,51
303,92.0,97.55813953488372,51
304,62.0,96.75,51
305,133.0,97.55555555555556,51
306,105.0,97.71739130434783,51
307,58.0,96.87234042553192,51
308,135.0,97.66666666666667,51
309,160.0,98.93877551020408,51
310,107.0,99.1,51
311,110.0,99.16,51
312,121.0,101.1,51
313,60.0,101.6,51
314,48.0,101.86,51
315,118.0,102.14,51
316,124.0,103.04,51
317,122.0,103.58,51
318,134.0,103.12,51
319,25.0,102.82,51
320,113.0,102.12,51
321,85.0,102.38,51
322,99.0,99.72,51
323,147.0,101.5,51
324,46.0,101.32,51
325,20.0,101.42,51
326,65.0,101.94,51
327,31.0,100.38,51
328,56.0,99.38,51
329,53.0,97.82,51
330,39.0,95.56,51
331,56.0,96.04,51
332,70.0,95.12,51
333,71.0,94.98,51
334,82.0,92.48,51
335,55.0,90.86,51
336,61.0,91.06,51
337,27.0,90.08,51
338,55.0,89.24,51
339,40.0,88.5,51
340,41.0,86.32,51
341,62.0,86.2,51
342,63.0,86.46,51
343,49.0,84.08,51
344,91.0,83.6,51
345,106.0,83.9,51
346,99.0,83.74,51
347,96.0,83.98,51
348,140.0,83.8,51
349,126.0,84.46,51
350,101.0,83.84,51
351,126.0,84.46,51
352,135.0,84.4,51
353,118.0,84.92,51
354,96.0,85.6,51
355,154.0,86.02,51
356,153.0,86.98,51
357,148.0,88.78,51
358,134.0,88.76,51
359,157.0,88.7,51
360,194.0,90.44,51
361,181.0,91.86,51
362,198.0,93.4,51
363,167.0,95.54,51
364,164.0,97.86,51
365,258.0,100.66,51
366,254.0,103.26,51
367,500.0,110.82,51
368,500.0,118.14,51
369,500.0,127.64,51
370,500.0,135.38,51
371,500.0,143.68,51
372,285.0,147.4,51
373,224.0,148.94,51
374,500.0,158.02,51
375,326.0,164.14,51
376,294.0,168.72,51
377,500.0,178.1,51
378,500.0,186.98,51
379,500.0,195.92,51